id,fecha,latitud,longitud,direccion,barrioNombre,altura,fuste,faseVital,estadoFitosanitario,inclinacion,ahuecamiento,problemaDesrames,problemaDescalzado,problemaFustePartido,problemaObjetoExtranio,problemaGrieta,problemaDesequilibrioCopa,manejoInadecuado,intervenciones,distForestalAdecuada,interf,cazuela,levantamientoVereda,observaciones,especieNombre,lugarRelevamientoNombre,tipoLugarNombre
76278,7/23/2018,-31.42011929,-64.16742973,580,Juniors,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Franja Verde (F),,,F,Rio Cuarto 500-600,Calle
76279,7/23/2018,-31.42007237,-64.16741867,570,Juniors,Menor a 4m.,"Menor a 0,10m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Fresno Americano,Rio Cuarto 500-600,Calle
76280,7/19/2018,-31.4172315,-64.16558269,274,Juniors,Entre 4m. y 7m.,"Mayor 0,40m",Maduro,Regular,No,Leve,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Brachichito,Posadas 200-300,Calle
76281,7/23/2018,-31.41997738,-64.1673905,570,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Bueno,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Sin intervenciones,TRUE,FALSE,Adecuada,No,,Otra especie,Rio Cuarto 500-600,Calle
76282,7/23/2018,-31.41988553,-64.16736737,564,Juniors,Mayor a 10m,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,Leve,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Adecuada,Leve,,Fresno Americano,Rio Cuarto 500-600,Calle
76283,7/23/2018,-31.41973017,-64.16733451,548,Juniors,Mayor a 10m,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Roble Sedoso,Rio Cuarto 500-600,Calle
76284,7/23/2018,-31.41977166,-64.16734893,560,Juniors,Mayor a 10m,"Entre 0,10m. y 0,40m.",Maduro,Regular,Leve,No,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Leve,Mantenimiento,TRUE,TRUE,Franja Verde,Leve,,Roble Sedoso,Rio Cuarto 500-600,Calle
76285,7/23/2018,-31.41968439,-64.16732647,548,Juniors,Mayor a 10m,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Roble Sedoso,Rio Cuarto 500-600,Calle
76286,7/23/2018,-31.41963032,-64.16730601,534,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Regular,No,No,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Leve,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Crespón,Rio Cuarto 500-600,Calle
76287,7/19/2018,-31.41719516,-64.16557096,264,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,Leve,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Brachichito,Posadas 200-300,Calle
